"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","param","ind","ID","year_zero","SEX","POD","age_value","age_add"
"par[1,1]",2.8788872695,2.88158,0.0990422643122741,0.0961021320000001,2.711579,3.0354715,1.00013693590718,12751.2666146431,22267.9044120526,"Ly",1,"HAMSTER",2022,"F","DOUBTFUL","actual","actual"
"par[2,1]",2.84076455625,2.83427,0.105850832142713,0.104760516,2.67693,3.023731,1.00035525703444,12482.8336708485,22771.911958959,"Ly",2,"FURY",2022,"F","DOUBTFUL","actual","actual"
"par[3,1]",2.84486653175,2.84273,0.0977622644205184,0.0958352639999997,2.6882795,3.00881,1.00019259050093,10858.1343304631,20946.8854118531,"Ly",3,"ROCKET",2022,"F","DOUBTFUL","actual","actual"
"par[4,1]",2.735705682,2.732285,0.12999786355486,0.125153679,2.52813,2.9547835,1.00026395980597,13902.772247785,21360.705321973,"Ly",4,"SUNSHINE",2022,"F","DUSKY","actual","actual"
"par[5,1]",2.81222079225,2.805365,0.0847269097465246,0.0792672090000001,2.6853785,2.962051,1.00011044287311,15406.7000025934,21056.0113317151,"Ly",5,"YULE",2021,"F","DOUBTFUL","actual","actual"
"par[6,1]",2.65397574575,2.633795,0.186069927437607,0.244903281,2.4290295,2.970945,1.00026439192491,5515.72143646158,16986.0450417325,"Ly",6,"SKUNK",2019,"F","DOUBTFUL","actual","actual"
"par[7,1]",2.65976477125,2.64439,0.0993102777261207,0.0984742919999999,2.52712,2.8438805,1.00006073799672,12366.7798985368,22956.1344175592,"Ly",7,"EMMY",2020,"F","DOUBTFUL","actual","actual"
"par[8,1]",2.77712847,2.682145,0.18854262740055,0.0734554170000002,2.61761,3.182672,1.00130743632374,3064.64666437532,7733.54094213636,"Ly",8,"GAZEBO",2016,"F","DOUBTFUL","actual","actual"
"par[9,1]",2.90980004775,2.90465,0.115957468228964,0.126851256,2.7346,3.110143,1.00018944377006,19155.8116542156,19435.496244257,"Ly",9,"LOTTO",2017,"F","DOUBTFUL","actual","actual"
"par[10,1]",2.84802643725,2.853915,0.171968119075539,0.210047355,2.596109,3.12987,1.0001713928182,8842.53138437242,19239.5105760043,"Ly",10,"PONCHO",2017,"F","DUSKY","actual","actual"
"par[11,1]",2.808625832,2.76297,0.126933422414689,0.0570578610000001,2.69725,3.109835,1.00044728988625,12080.7959797814,14306.5676113146,"Ly",11,"SUZY",2014,"F","DUSKY","actual","actual"
